compid,orgtype,emplid,tenure,active,gradrn,degree,volcerts,rnyears,lasthire,avghours,avgoncall,lateorcallin,avgshiftwork,retentionrisk,hiresource,performance
CAH,HOSP,1,3,1,1,2,0,39,2021,36,0,0,0,B,newspaper,B
CAH,ADM,2,39,1,0,2,0,43,1985,36,0,0,0,B,newspaper,B
CAH,CLIN,3,3,1,0,3,0,35,2021,24,0,0,0,B,referral,B
CAH,HOSP,4,10,1,0,1,0,10,2014,36,0,0,36,B,companywebsite,B
CAH,HOSP,5,18,1,0,1,1,32,2006,36,0,0,0,B,referral,B
CAH,HOSP,6,6,0,0,2,0,33,2010,36,0,0,36,B,referral,B
CAH,HOSP,7,7,1,0,2,0,13,2017,36,0,0,0,B,newspaper,B
CAH,HOSP,8,5,1,0,3,0,23,2019,36,0,0,0,A,jobboard,A
CAH,HOSP,9,18,1,0,2,0,28,2006,36,0,0,0,B,referral,B
CAH,CLIN,10,2,0,0,1,0,32,2014,36,0,0,0,C,newspaper,B
CAH,HOSP,11,9,1,0,2,0,29,2015,36,0,0,0,B,newspaper,A
CAH,CLIN,12,0,0,0,2,0,3,2024,12,0,4,0,B,companywebsite,C
CAH,CLIN,13,16,1,0,2,0,16,2008,36,0,1,0,B,referral,C
CAH,CLIN,14,22,1,0,2,0,35,2002,36,0,0,0,B,companywebsite,B
CAH,CLIN,15,5,0,0,1,0,41,2015,12,0,0,0,A,companywebsite,A
CAH,HOSP,16,23,1,0,2,0,41,2001,36,0,0,0,B,newspaper,B
CAH,CLIN,17,17,1,0,1,0,17,2007,36,0,0,0,A,referral,A
CAH,CLIN,18,28,1,0,1,0,34,1996,36,0,0,0,A,newspaper,B
CAH,HOSP,19,38,1,0,1,0,38,1986,12,0,0,12,B,referral,B
CAH,HOSP,20,0,1,1,3,0,1,2024,36,2,2,0,B,jobboard,C
CAH,HOSP,21,2,1,1,1,0,5,2022,36,0,0,0,B,jobboard,B
CAH,HOSP,22,42,1,0,1,0,42,1982,36,0,0,0,B,newspaper,B
CAH,CLIN,23,0,1,0,2,0,0,2024,36,0,0,0,B,referral,B
CAH,CLIN,24,17,1,0,2,0,17,2007,36,0,0,0,B,companywebsite,B
CAH,HOSP,25,39,1,0,2,0,42,1985,18,0,0,18,A,newspaper,A
CAH,ADM,26,11,1,0,1,0,11,2013,36,0,0,0,B,companywebsite,B
CAH,HOSP,27,7,0,0,1,0,30,2009,8,0,2,8,B,newspaper,C
CAH,CLIN,28,0,0,0,3,0,14,2024,36,0,0,0,C,companywebsite,B
CAH,HOSP,29,2,0,0,2,0,42,2017,36,0,0,36,C,newspaper,B
CAH,HOSP,30,14,1,0,2,0,26,2010,36,0,0,0,B,referral,B
CAH,HOSP,31,15,1,0,2,0,26,2009,36,0,0,0,B,newspaper,A
CAH,ADM,32,8,1,0,2,0,14,2016,36,0,0,0,B,jobboard,B
CAH,CLIN,33,11,1,0,1,0,16,2013,36,0,0,0,B,companywebsite,B
CAH,CLIN,34,19,1,0,2,0,21,2005,36,0,0,0,A,referral,A
CAH,CLIN,35,2,0,0,2,0,8,2019,36,0,0,0,B,jobboard,B
CAH,HOSP,36,17,1,0,1,0,30,2007,36,0,0,36,A,newspaper,B
CAH,CLIN,37,0,1,0,1,0,1,2024,36,0,0,0,B,companywebsite,B
CAH,HOSP,38,27,1,0,1,0,41,1997,40,0,1,0,B,referral,B
CAH,HOSP,39,10,1,0,3,0,23,2014,36,0,0,36,B,companywebsite,B
CAH,HOSP,40,6,1,0,1,0,12,2018,36,0,0,0,A,referral,A
CAH,HOSP,41,27,1,0,1,3,39,1997,36,0,0,0,B,newspaper,B
CAH,HOSP,42,16,1,0,2,0,31,2008,36,2,0,36,B,newspaper,B
CAH,HOSP,43,0,1,0,1,0,15,2024,36,0,0,0,C,jobboard,B
CAH,HOSP,44,17,1,0,2,0,45,2007,38,0,0,0,B,newspaper,B
CAH,HOSP,45,4,1,0,2,0,7,2020,12,0,0,12,A,referral,A
CAH,CLIN,46,43,1,0,2,0,44,1981,30,0,0,0,B,newspaper,B
CAH,HOSP,47,24,1,0,2,0,33,2000,36,0,1,36,B,companywebsite,C
CAH,HOSP,48,2,1,0,1,0,4,2022,12,0,0,12,B,jobboard,B
CAH,HOSP,49,2,1,1,2,0,3,2022,36,0,0,0,B,companywebsite,B
CAH,HOSP,50,12,0,0,1,0,43,1994,36,2,3,0,B,referral,C
CAH,HOSP,51,2,1,1,3,0,2,2022,24,0,1,24,B,referral,B
CAH,HOSP,52,10,1,0,1,0,28,2014,15,0,0,15,B,newspaper,A
CAH,HOSP,53,7,1,0,1,0,8,2017,36,0,2,18,B,companywebsite,C
CAH,CLIN,54,7,1,0,2,0,32,2017,36,0,0,0,B,newspaper,B
CAH,CLIN,55,20,1,0,2,0,35,2004,36,0,0,0,A,referral,A
CAH,CLIN,56,5,1,0,2,0,39,2019,36,0,0,0,B,newspaper,B
CAH,HOSP,57,1,1,1,2,0,11,2023,36,0,0,36,B,companywebsite,B
CAH,HOSP,58,35,1,0,2,0,37,1989,36,0,0,36,B,newspaper,B
CAH,HOSP,59,0,0,0,2,0,22,2022,36,4,0,0,B,newspaper,B
CAH,HOSP,60,12,1,0,1,0,29,2012,36,0,1,36,B,companywebsite,C
CAH,ADM,61,0,1,0,1,0,3,2024,16,0,0,0,B,referral,B
CAH,HOSP,62,2,0,0,2,0,14,2011,36,0,0,0,C,newspaper,B
CAH,HOSP,63,0,1,1,1,0,3,2024,36,0,0,0,B,companywebsite,B
CAH,HOSP,64,2,1,1,2,0,16,2022,36,0,0,0,B,jobboard,B
CAH,CLIN,65,0,0,0,1,0,3,2024,36,0,0,0,B,jobboard,B
CAH,ADM,66,20,1,0,3,0,20,2004,36,0,0,0,B,referral,B
CAH,CLIN,67,4,1,0,1,0,24,2020,36,0,1,0,A,companywebsite,C
CAH,HOSP,68,14,1,0,1,0,32,2010,36,0,0,0,A,jobboard,B
CAH,HOSP,69,1,1,1,1,0,6,2023,36,0,0,0,C,jobboard,B
CAH,HOSP,70,11,1,0,3,0,17,2013,18,0,0,0,A,referral,A
CAH,CLIN,71,18,1,0,1,0,45,2006,28,0,0,0,C,newspaper,B
CAH,HOSP,72,0,1,1,3,0,5,2024,36,0,2,0,B,companywebsite,C
CAH,CLIN,73,5,1,0,2,0,22,2019,36,0,1,0,A,newspaper,C
CAH,HOSP,74,20,1,0,1,0,21,2004,36,0,2,0,B,referral,C
CAH,CLIN,75,1,0,0,2,0,6,2021,37,0,0,0,B,jobboard,A
CAH,HOSP,76,0,1,0,1,0,44,2024,36,0,0,36,B,newspaper,B
CAH,HOSP,77,0,0,0,2,2,5,2019,36,2,2,0,B,jobboard,B
